"<a href="http://twitter.com/apps/new" target="_blank">Register</a>","<a href="http://twitter.com/apps/new" target="_blank">Register</a>"
"Button Image","Button Image"
"Button image label","Button image label"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Enable","Enable"
"Login by Twitter","Login by Twitter"
"Magegiant Extensions","Magegiant Extensions"
"Position number","Position number"
"Twitter Login","Twitter Login"
"Your app callback URI : {{your_domain}}twlogin/index/callback","Your app callback URI : {{your_domain}}twlogin/index/callback"
