"<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>","<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>"
"Enable","Enable"
"Application ID","Application ID"
"Button Image","Button Image"
"Button image label","Button image label"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Login by Yahoo","Login by Yahoo"
"Please config Yahoo app callback to {{your_domain}}yhlogin/index/callback","Please config Yahoo app callback to {{your_domain}}yhlogin/index/callback"
"Send Password To Customer","Send Password To Customer"
"Send new password to customer","Send new password to customer"
"Sort Order","Sort Order"
"Yahoo Login","Yahoo Login"
