"Active","Aktif"
"Add Attribute Mapping","Tambah atribut maping"
"Add New Attribute","Tambah atribut baru"
"Add to Google Base","Tambah ke Google Base"
"Are you sure?","Apakah Anda yakin?"
"Attribute","Atribut"
"Attribute Set","Atur atribut"
"Attribute Set and Item Type","Atur atribut dan jenis barang"
"Attributes","Atribut"
"Attributes Mapping","Attributes Mapping"
"Attributes Set","Atur atribut"
"AuthSub","AuthSub"
"Available Products","Produk tersedia"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Mata uang dasar harus di set ke %s untuk %s dalam konfigurasi sistem. Jika harga item tidak akan benar di Google Base."
"Captcha confirmation error: %s","Konfirmasi Captcha error: %s"
"Captcha has been confirmed.","Captcha telah dikonfirmasi."
"Catalog","Katalog"
"Clicks","Klik"
"ClientLogin","Login Klien"
"Confirm","Konfirmasi"
"Current Mapping will be reloaded. Continue?","Mapping terbaru akan dimuat ulang. Lanjutkan?"
"Custom attribute, no mapping","Atribut khusus, tidak dimapping"
"Delete","Hapus"
"Delete Mapping","Hapus mapping"
"Edit Item Type","Sunting jenis item"
"Edit Item Type ""%s""","Edit Tipe Item ""%s"""
"Error: %s","error: %s"
"Expires","Kadaluarsa"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atribut Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Jenis item Google Base"
"Google Base Item type","Jenis item Google Base"
"Google Base Items","Item Google Base"
"Google base","Google base"
"Hide","Sembunyikan"
"Hosted","Hosted"
"Hosted or Google","Hosted or Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Model produk tidak valid untuk Item Google Base"
"Item Type was deleted","Jenis item telah dihapus"
"Item Types","Jenis Item"
"Item model is not specified to delete Google Base entry.","Model item tidak dispesifikasikan untuk menghapus entri Google Base."
"Items","Item"
"Manage Attribute Mapping","Kelola Atribut Mapping"
"Manage Attributes","Kelola Atribut"
"Manage Items","Kelola Item"
"New Item Type","Jenis Item baru"
"New ItemType","tipe item baru"
"No","Tidak"
"No items were deleted from Google Base","Tidak ada item yang di hapus dari Google Base"
"No items were published","Tidak ada item yang dipublish"
"No items were saved as inactive items","Tidak ada item disimpan sebagai item tidak aktif"
"No products were added to Google Base","Tidak ada produk ditambahkan ke Google Base"
"Object model is not specified to save Google Base entry.","Model objek tidak ditentukan untuk menyimpan entri Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Mohon, Pilih pengaturan atribut dan jenis item google untuk memuat atribut "
"Product Name","Nama produk"
"Publish","Publish"
"Published","Dipublish"
"Remove","Hapus"
"Save Mapping","Simpan mapping"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sesi kadaluarsa ketika ekspor. Silakan merevisi produk yang diekspor dan ulangi proses jika diperlukan."
"Synchronize","Singkronisasi"
"Target Country","Target negara"
"The item type has been saved.","Tipe item telah disimpan."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Tindakan ini akan memperbarui statistik item dan menghapus item yang tidak tersedia di Google Base. Lanjutkan?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total dari %d items telah dihapus; total dari %d item telah diperbarui."
"Total of %d items(s) have been published.","Total dari %d item telah dipublish."
"Total of %d items(s) have been removed from Google Base.","Total dari %d telah dihapus dari Google Base."
"Total of %d items(s) have been saved as inactive items.","Total dari %d item telah disimpan sebagai item tidak aktif."
"Total of %d product(s) have been added to Google Base.","Total dari %d produk telah ditambahkan ke Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Tidak dapat terhubung ke Google Base. Silakan, periksa pengaturan Akun dalam konfigurasi."
"Unable to select a Store View.","tidak dapat memilih tampilan toko."
"View Available Products","Lihat produk yang tersedia"
"View Item in Google Base","Lihat item di Google Base"
"Yes","Ya"
