"Alert Email Sender","Pemberitahuan Email pengirim"
"Alert subscription has been saved.","Pemberitahuan berlangganan telah disimpan."
"Allow Alert When Product Comes Back in Stock","Ijinkan pemberitahuan ketika produk sudah kembali ke Stok"
"Allow Alert When Product Price Changes","Ijinkan pemberitahuan ketika perubahan harga produk"
"Click here not to receive alerts for this product","Klik disini untuk tidak menerima pemberitahuan dari produk ini"
"Error Email Recipient","Error email penerima"
"Error Email Sender","Error email pengirim"
"Error Email Template","Error template email"
"Frequency","Frekuensi"
"Not enough parameters.","parameter tidak cukup."
"Price Alert Email Template","Template Email pemberitahuan harga"
"Price:","Harga:"
"Product Alerts","Pemberitahuan produk"
"Product Alerts Run Settings","Jalankan peraturan tanda produk"
"Product alerts Cron error","Pemberitahuan produk cron Error"
"Product price alert","Pemberitahuan harga produk"
"Product stock alert","Pemberitahuan stok produk"
"Regular Price:","Harga Regular:"
"Sign up for price alert","Daftar untuk pemberitahuan harga"
"Sign up to get notified when this product is back in stock","Daftar untuk mendapatkan notofikasi ketika produk ini kembali dalam stok"
"Special price:","Harga spesial:"
"Start Time","Waktu Mulai"
"Stock Alert Email Template","Template Email Pemberitahuan Stok"
"The alert subscription has been deleted.","Pemberitahuan berlangganan telah dihapus."
"The alert subscription has been saved.","Pemberitahuan berlangganan telah disimpan."
"The product is not found.","Produk tidak ditemukan."
"The product was not found.","Produk tidak ditemukan."
"Unable to update the alert subscription.","Tidak dapat memperbarui pemberitahuan berlangganan."
"Unsubscribe from all price alerts","Berhenti berlangganan dari semua pemberitahuan harga"
"Unsubscribe from all stock alerts","Berhenti berlangganan dari semua pemberitahuan stok"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima pemberitahuan ketika produk berikut telah kembali dalam stok:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Anda menerima pemberitahuan ini karena Anda berlangganan untuk menerima pemberitahuan ketika harga untuk produk berikut berubah:"
"You will no longer receive price alerts for this product.","Anda tidak akan lagi menerima pemberitahuan harga untuk produk ini."
"You will no longer receive stock alerts for this product.","Anda tidak akan lagi menerima pemberitahuan stok untuk produk ini."
"You will no longer receive stock alerts.","Anda tidak akan lagi menerima pemberitahuan untuk stok ini."
